Year,Artist,Title,Category,Award
2016,Lene Grenager,Marianne B. Lie & Trondheim Sinfonietta: Khipukamayuq,Tonos Komponistpris,Nei
2016,Maja S. K. Ratkje,Maja S. K. Ratkje m.fl.: Crepusclar hour,Tonos Komponistpris,Nei
2016,Olav Anton Thommesen,Oslo Sinfonietta: The hermaphrodite,Tonos Komponistpris,Nei
2016,Abbath,Abbath,Metal,Nei
2016,Nag,Nag,Metal,Nei
2016,Okkultokrati,Raspberry dawn,Metal,Ja
2016,Sarke,Bogefod,Metal,Nei
2016,Arni & Kinski,Aurora: I went to far,Årets Musikkvideo,Ja
2016,Christian Mona / Leif Henning Broch Johnsen,Jaga Jazzist: Prungen,Årets Musikkvideo,Nei
2016,Marie Kristiansen,Klovner i Kamp: Min aller beste venn,Årets Musikkvideo,Nei
2016,Thea Hvistendahl,Karpe Diem: Den islamske elefanten,Årets Musikkvideo,Nei
2016,Øystein Moe / Alexander Somma / Line Klungseth Johansen,Highasakite: Golden ticket,Årets Musikkvideo,Nei
2016,Aksel Rykkvin,,Årets Nykommer & Gramostipend,Nei
2016,Astrid S,,Årets Nykommer & Gramostipend,Ja
2016,Cezinando,,Årets Nykommer & Gramostipend,Nei
2016,Dagny,,Årets Nykommer & Gramostipend,Nei
2016,Matoma,,Årets Nykommer & Gramostipend,Nei
2016,Ondt Blod,,Årets Nykommer & Gramostipend,Nei
2016,Aurora,All my demons greeting me as a friend,Popsolist,Ja
2016,Bendik,Fortid,Popsolist,Nei
2016,Gundelach,Gundelach,Popsolist,Nei
2016,Hanne Kolstø,Fest blikket,Popsolist,Nei
2016,Kygo,Cloud nine,Popsolist,Nei
2016,Highasakite,Camp echo,Popgruppe,Ja
2016,Lemaitre,Lemaitre 2016,Popgruppe,Nei
2016,No. 4,Henda i været,Popgruppe,Nei
2016,Bård Ingebrigtsen,"Kreg Visselmann: To the mountain, Stein Torleif Bjella: Gode liv, Valkyrien: Prøv å si noe til meg nå, m.fl.",Årets Produsent,Nei
2016,Cashmere Cat,"Cashmere Cat feat. Selena Gomez & Tory Lanez: Trust nobody, Cashmere Cat feat. The Weekend & Francis & The Gang: Wild love, Kanye West feat. Frank Ocean: Frank's track, The Weekend: All I know, m.fl.",Årets Produsent,Ja
2016,Jesper Borgen,"Alan Walker: Faded, Alan Walker: Sing me to sleep, Marcus & Martinus: Without you, m.fl.",Årets Produsent,Nei
2016,Joakim Haukaas / Kid Joki,"Britney Spears feat. T.I.: Tik tok boom, CLMD feat. Astrid S: Dust, Julie Bergan: Arigato, m.fl.",Årets Produsent,Nei
2016,Morten Lindberg,"Cikada: Carola Bauckholt: Ich muss mit dir reden, Maiken Mathisen Schau & Trond Schau: Lasse Thoresen: Sea of names, Trondheimsolistene: Reflections, m.fl.",Årets Produsent,Nei
2016,Death by Unga Dunga,Pineapple pizza,Rock,Nei
2016,Hjerteslag,Vannmann86,Rock,Nei
2016,Kvelertak,Nattesferd,Rock,Ja
2016,Tusmørke,Ført bak lyset,Rock,Nei
2016,Årabrot,The gospel,Rock,Nei
2016,Ensemble Neon,Neon,Samtid,Ja
2016,Henrik Hellstenius / Elisabeth Holmertz / Tora Augestad / Ivan Ludlow / Silje Aker Johnsen / Janna Wettergren / Ebba Rydh / Cikada / Christian Eggen / Cecilie Løveid,Ophelias: Death by water singing,Samtid,Nei
2016,Maja S. K. Ratkje / The 24 / RNCM Chamber Choir / University of Huddersfield Chamber Choir / Stian Westerhus / Hild Sofie Tafjord / Phil Julian / Mark Durgan / Antoine Chessex / Lasse Marhaug / Nils Henrik Asheim,Crepuscular hour,Samtid,Nei
2016,Throndheim Voices / Jon Balke / Batagraf,On anodyne,Samtid,Nei
2016,Chirag Rashmikant Patel / Magdi Omar Ytreeide Abdelmaguid,Karpe Diem: Heisann Montebello,Tekstforfatter,Nei
2016,Jenny Hval,Jenny Hval: Blood Bitch,Tekstforfatter,Nei
2016,Kaja Gunnufsen,Kaja Gunnufsen: Ikke tenk på det,Tekstforfatter,Nei
2016,Kristoffer Cezinando Karlsen,Cezinando: Barn av Europa,Tekstforfatter,Ja
2016,Stein Torleif Bjella,Stein Torleif Bjella: Gode liv,Tekstforfatter,Nei
2016,Cezinando,Barn av Europa,Urban,Nei
2016,Karpe Diem,Heisann Montebello,Urban,Ja
2016,Lido,Everything,Urban,Nei
2016,Frida Ånnevik,Her bor,Viser,Ja
2016,Hekla Stålstrenga,Ventetid,Viser,Nei
2016,Marte Wulff,Marte Wulff,Viser,Nei
2016,Moddi,Unsongs,Viser,Nei
2016,Stein Torleif Bjella,Gode liv,Viser,Nei
2016,Erlend Apneseth Trio,Det andre rommet,Åpen Klasse,Nei
2016,Stian Westerhus,Amputation,Åpen Klasse,Nei
2016,Susanna,Triangle,Åpen Klasse,Ja
2016,Trygve Seim,Rumi songs,Åpen Klasse,Nei
2016,Aurora,All my demons greeting me as a friend,Årets Album,Nei
2016,Jenny Hval,Blood bitch,Årets Album,Nei
2016,Karpe Diem,Heisann Montebello,Årets Album,Ja
2016,Stein Torleif Bjella,Gode liv,Årets Album,Nei
2016,Årabrot,The gospel,Årets Album,Nei
2016,Alan Walker,,Eksportprisen,Ja
2016,Cashmere Cat,,Eksportprisen,Nei
2016,Lise Davidsen,,Eksportprisen,Nei
2016,Mette Henriette,,Eksportprisen,Nei
2016,William Wiik Larsen,,Eksportprisen,Nei
2016,Seeb,,Eksportprisen,Nei
2016,Alan Walker,Faded,Årets Låt,Ja
2016,Astrid S,Hurts so good,Årets Låt,Nei
2016,Dagny,Backbeat,Årets Låt,Nei
2016,Freddy Kalas,Jovial,Årets Låt,Nei
2016,Julie Bergan,Arigato,Årets Låt,Nei
2016,Kristian Kristensen,Kan du lære mæ?,Årets Låt,Nei
2016,Kygo feat. Maty Noyes,Stay,Årets Låt,Nei
2016,Marcus & Martinus feat. Madcon,Girls,Årets Låt,Nei
2016,Matoma feat. Becky Hill,False alarm,Årets Låt,Nei
2016,Sonny Alven feat. Emmi,Our youth,Årets Låt,Nei
2016,Marcus & Martinus,,Årets Spellemann,Ja
2015,Britt-Synnøve Johansen,Skakke sanger,Barnemusikk,Nei
2015,Maj Britt Andersen,Væla omkring,Barnemusikk,Ja
2015,Meg og kammeraten min,Ostepop,Barnemusikk,Nei
2015,Joe Rusi,Who I am,Blues,Nei
2015,Knut Reiersrud & Mighty Sam McClain,Tears of the world,Blues,Ja
2015,Richard Gjems / Øyvind Stølefjell / Ronnie Jacobsen / Robert Skoglund,Blått rom,Blues,Nei
2015,Erik Moll,Many years to go,Country,Ja
2015,Ida Jenshus,Starting over again,Country,Nei
2015,Janne Hea,Wishing well,Country,Nei
2015,Roy Lønhøiden,Du spør meg om sannhet,Country,Nei
2015,Contrazt,Hælj!,Danseband,Nei
2015,Gluntan,Gluntan 50 år,Danseband,Ja
2015,Hanne Mette,Akkurat nå,Danseband,Nei
2015,André Bratten,Gode,Elektronika/Dancemusikk,Ja
2015,Jan-M. Iversen,Elements,Elektronika/Dancemusikk,Nei
2015,Todd Rundgren / Emil Nikolaisen / Hans-Petter Lindstrøm,Runddans,Elektronika/Dancemusikk,Nei
2015,Nils Økland Band,Kjølvatn,Folkemusikk/Tradisjonsmusikk,Nei
2015,Per Anders Buen Garnås,Greinir,Folkemusikk/Tradisjonsmusikk,Nei
2015,Susanne Lundeng,111 Nordlandsslåtter - hilsen Susanne Lundeng,Folkemusikk/Tradisjonsmusikk,Ja
2015,Østerdalsmusikk,Østerdalsmusikk 1975 - 2015,Folkemusikk/Tradisjonsmusikk,Nei
2015,Aastad Bråten,Til Ragna,Folkemusikk/Tradisjonsmusikk,Nei
2015,Tommy Tee,,Årets Hederspris,Ja
2015,Band of Gold,Band of Gold,Indie,Nei
2015,Bror Forsgren,Narcissus,Indie,Nei
2015,Razika,Ut til de andre,Indie,Nei
2015,The Megaphonic Thrift,Sun stare sound,Indie,Ja
2015,Gard Nilssen's Acoustic Unity,Firehouse,Jazz,Nei
2015,Mathias Eick,Midwest,Jazz,Nei
2015,Megalodon Collective,Megalodon,Jazz,Nei
2015,Møster!,When you cut into the present,Jazz,Nei
2015,Team Hegdal,Vol. 3,Jazz,Ja
2015,Det Norske Solistkor / Grete Pedersen,Meins leben licht - Nystedt / Bach,Klassisk,Nei
2015,Ensemble Allegria,Volt 22,Klassisk,Nei
2015,Håkon Austbø,Chopin now,Klassisk,Nei
2015,Rolf Lislevand,Scaramanzia,Klassisk,Ja
2015,Vasily Petrenko & Oslo Philharmonic Orchestra,"Alexander Scriabin: Symphony no. 3, Op. 43, Symphony no. 4, Op. 54",Klassisk,Nei
2015,Anneli Drecker,Anneli Drecker: Rocks & straws,Tonos Komponistpris,Nei
2015,Gisle Kverndokk,Gisle Kverndokk/Nordic Voices: Fuge der zeit,Tonos Komponistpris,Nei
2015,Kari Jahnsen,Farao: Till it's all forgotten,Tonos Komponistpris,Nei
2015,Morten Qvenild,Morten Qvenild: Personal piano,Tonos Komponistpris,Nei
2015,Ørjan Matre,Peter Herresthal & Stavanger Symfoniorkester: Ørjan Matre: Presage & violin concerto,Tonos Komponistpris,Ja
2015,Enslaved,In times,Metal,Nei
2015,Kampfar,Profan,Metal,Ja
2015,Leprous,The congregation,Metal,Nei
2015,Tsjuder,Antiliv,Metal,Nei
2015,André Chocron,Cold Mailman: Something you do,Årets Musikkvideo,Nei
2015,Kavar Singh,Karpe Diem: Lett å være rebell i kjellerleiligheten din,Årets Musikkvideo,Nei
2015,Marie Kristiansen,Karpe Diem: Hvite menn som pusher 50,Årets Musikkvideo,Ja
2015,Saman Kesh,Kygo feat. Parson James: Stole the show,Årets Musikkvideo,Nei
2015,Stian Andersen,Røyksopp: Skulls,Årets Musikkvideo,Nei
2015,Aurora Aksnes,,Årets Nykommer & Gramostipend,Ja
2015,Daniel Kvammen,,Årets Nykommer & Gramostipend,Nei
2015,Fay Wildhagen,,Årets Nykommer & Gramostipend,Nei
2015,Kygo,,Årets Nykommer & Gramostipend,Nei
2015,Marcus & Martinus,,Årets Nykommer & Gramostipend,Nei
2015,Sondre Justad,,Årets Nykommer & Gramostipend,Nei
2015,Ane Brun,When I'm free,Popsolist,Nei
2015,Anneli Drecker,Rocks & straws,Popsolist,Nei
2015,Erlend Ropstad,Det beste vi får til,Popsolist,Nei
2015,Sondre Justad,Riv i hjertet,Popsolist,Nei
2015,Susanne Sundfør,Ten love songs,Popsolist,Ja
2015,A-ha,Cast in steel,Popgruppe,Nei
2015,Bow To Each Other,My heart is a target,Popgruppe,Ja
2015,Marcus & Martinus,Hei,Popgruppe,Nei
2015,Anneli Drecker,,Årets Produsent,Nei
2015,Frode Flatland,,Årets Produsent,Nei
2015,Kygo,,Årets Produsent,Nei
2015,Morten Lindberg,,Årets Produsent,Nei
2015,Susanne Sundfør,,Årets Produsent,Ja
2015,Amund Maarud,Volt,Rock,Nei
2015,Beglomeg,Eurokrjem,Rock,Ja
2015,Kindred Fever,Sabre-toothed model youth,Rock,Nei
2015,The Good The Bad and The Zugly,Hadeland hardcore,Rock,Nei
2015,Undergrünnen,Undergrünnen,Rock,Nei
2015,Anders Førisdal,Bjørn Fongaard Galaxe,Samtid,Nei
2015,Asamisimasa,Neon forest space,Samtid,Ja
2015,Gisle Kverndokk / Nordic Voices,Fuge der zeit,Samtid,Nei
2015,Song Circus,Anatomy of sound,Samtid,Nei
2015,Daniel Kvammen,Daniel Kvammen: Fremad i alle retninga,Tekstforfatter,Nei
2015,Frank Tønnesen,Tønes: Vindbrest,Tekstforfatter,Nei
2015,Lars Lønning,Black Debbath: Universell riffsynsing,Tekstforfatter,Nei
2015,Lars Vaular,Lars Vaular: 666 mening,Tekstforfatter,Nei
2015,Odd Nordstoga,Odd Nordstoga: Dette landet,Tekstforfatter,Ja
2015,Arif,Highend / Asfalt,Urban,Ja
2015,Lars Vaular,666 Alt,Urban,Nei
2015,Unge Ferrari,Til mine venner,Urban,Nei
2015,Hilde Selvikvåg,Slepp meg fri,Viser,Nei
2015,Kjersti Kveli,No e tida,Viser,Nei
2015,Odd Nordstoga,Dette landet,Viser,Nei
2015,Tommy Tokyo,Hev deg over det derre der,Viser,Nei
2015,Tønes,Vindbrest,Viser,Ja
2015,Erland Dahlen,Blossom bells,Åpen Klasse,Nei
2015,Geir Sundstøl,Furulund,Åpen Klasse,Nei
2015,Jaga Jazzist,Starfire,Åpen Klasse,Nei
2015,Morten Qvenild,Personal piano,Åpen Klasse,Nei
2015,Slagr,Short stories,Åpen Klasse,Ja
2015,Ane Brun,When I'm free,Årets Album,Nei
2015,Lars Vaular,666 Alt gir mening (triologien),Årets Album,Nei
2015,Sondre Justad,Riv i hjertet,Årets Album,Nei
2015,Susanne Sundfør,Ten love songs,Årets Album,Ja
2015,Trondheim Jazz Orchestra & Kristoffer Lo,Savages,Årets Album,Nei
2015,Vilde Frang,,Eksportprisen,Nei
2015,Kygo,,Eksportprisen,Ja
2015,Madcon,,Eksportprisen,Nei
2015,Einar Selvik,,Eksportprisen,Nei
2015,Ina Wroldsen,,Eksportprisen,Nei
2015,Astrid S,2AM,Årets Låt,Nei
2015,Aurora Aksnes,Running with the wolves,Årets Låt,Nei
2015,Daniel Kvammen,Du fortenar ein som meg,Årets Låt,Nei
2015,Karpe Diem,Lett å være rebell i kjellerleiligheten din,Årets Låt,Nei
2015,Kygo,Firestone,Årets Låt,Nei
2015,Kygo feat. Parson James,Stole the show,Årets Låt,Ja
2015,Madcon,Don't worry,Årets Låt,Nei
2015,Marcus & Martinus,Elektrisk,Årets Låt,Nei
2015,Morgan Sulele,Bare min,Årets Låt,Nei
2015,Susanne Sundfør,Delirious,Årets Låt,Nei
2015,Kygo,,Årets Spellemann,Ja
2014,Aslak og Igor,På feil side av låven,Barnemusikk,Nei
2014,Christine Sandtorv,Stjerneteller - Dinomaur,Barnemusikk,Ja
2014,Terje Formoe,Den blå planeten,Barnemusikk,Nei
2014,Daniel Eriksen,Monshine hymns,Blues,Ja
2014,Hans Bollandsås,Confession,Blues,Nei
2014,Joakim Tinderholt and his band,You gotta do more,Blues,Nei
2014,Bendik Brænne,Do you know who I think I am,Country,Nei
2014,Claudia Scott,Follow the lines,Country,Ja
2014,Darling West,Winter passing,Country,Nei
2014,Torgeir Waldemar,Torgeir Waldemar,Country,Nei
2014,Anne Nørdsti,Danser i måneskinn,Danseband,Nei
2014,Dænsebændet,…med sans for dans,Danseband,Ja
2014,PK & Dansefolket,Full truck 2,Danseband,Nei
2014,Kim Hiorthøy,Dogs,Elektronika/Dancemusikk,Nei
2014,Mental Overdrive,Cycls,Elektronika/Dancemusikk,Nei
2014,Mental Overdrive,Everything is connected,Elektronika/Dancemusikk,Ja
2014,Gjermund Larsen,Trønderbarokk,Folkemusikk/Tradisjonsmusikk,Ja
2014,Laura Ellestad,Valdresspel i Amerika,Folkemusikk/Tradisjonsmusikk,Nei
2014,Sandum Trio,Evig runddans,Folkemusikk/Tradisjonsmusikk,Nei
2014,Valkyrien Allstars,Farvel slekt og venner,Folkemusikk/Tradisjonsmusikk,Nei
2014,Morten Abel,,Årets Hederspris,Ja
2014,Bendik,No går det over,Indie,Nei
2014,Dark Times,Give,Indie,Nei
2014,Thea & the Wild,Strangers and lovers,Indie,Nei
2014,Thea Hjelmeland,Solar Plexus,Indie,Ja
2014,In the Country / Solveig Slettahjell / Bugge Wesseltoft / Knut Reiersrud,"Jazz at Berlin Philharmonic II, Norwegian Woods",Jazz,Nei
2014,Jan Gunnar Hoff,Fly north,Jazz,Nei
2014,Karl Seglem,Som spor,Jazz,Nei
2014,Marius Neset / Trondheim Jazz Orchestra,Lion,Jazz,Ja
2014,Ola Kvernberg,Mechanical Fair,Jazz,Nei
2014,Bergen Philharmonic Orchestra - Jennifer Pike,Silbelius - Viollin Concerto,Klassisk,Nei
2014,Bror Magnus Tødenes,Remembering Jussi,Klassisk,Nei
2014,Erlend Skomsvoll / Christian Ihle Hadland / 1B1,Holberg Variations,Klassisk,Ja
2014,Norwegian Baroque Orchestra,Johan Daniel & Johan Heinrich Berlin,Klassisk,Nei
2014,Ingrid Helene Håvik,Highasakite: Silent Treatment,Komponist,Ja
2014,Marit Larsen,Marit Larsen: When the Morning Comes,Komponist,Nei
2014,Siri Nilsen,Siri Nilsen: Skyggebokser,Komponist,Nei
2014,Svein Berge / Torbjørn Brundtland,Röyksopp: The Inevitable End,Komponist,Nei
2014,Svein Berge / Torbjørn Brundtland / Robin Miriam Carlsson,Röyksopp: Do it Again,Komponist,Nei
2014,1349,Massive cauldron of Chaos,Metal,Nei
2014,Einherjer,"Av oss, for oss",Metal,Nei
2014,Execration,Morbid Dimensions,Metal,Ja
2014,Vredehammer,Vinteroffer,Metal,Nei
2014,Anja Elena Viken,Herfra til I morgen,Årets nykommer & Gramostipend,Nei
2014,Elsa & Emilie,Endless Optimism,Årets nykommer & Gramostipend,Nei
2014,Emilie Nicolas,Like I'm a Warrior,Årets nykommer & Gramostipend,Ja
2014,Kaja Gunnufsen,Faen Kaja,Årets nykommer & Gramostipend,Nei
2014,Torgeir Waldemar,Torgeir Waldemar,Årets nykommer & Gramostipend,Nei
2014,Emilie Nicolas,Like I'm a Warrior,Popsolist,Ja
2014,Hanne Kolstø,Forever maybe,Popsolist,Nei
2014,Ida Jenshus,Let it go,Popsolist,Nei
2014,Sondre Lerche,Please,Popsolist,Nei
2014,Highasakite,Silent Treatment,Popgruppe,Ja
2014,Nico & Vinz,Black Star Elephant,Popgruppe,Nei
2014,Röyksopp,The Inevitable End,Popgruppe,Nei
2014,Röyksopp,Do it again,Popgruppe,Nei
2014,Johndoe,Slugger,Rock,Nei
2014,Sivert Høyem,Endless love,Rock,Nei
2014,Spidergawd,Spidergawd,Rock,Nei
2014,The Cheaters,Rites of Spring,Rock,Ja
2014,Frode Haltli,Vagabonde Blu,Samtid,Nei
2014,Håkon Stene,Lush Laments for Lazy Mammal,Samtid,Ja
2014,Oslo Sinfonietta,Black Box Music,Samtid,Nei
2014,The Norwegian Radio Orchestra,Perfect Strangers,Samtid,Nei
2014,Ingrid Helene Håvik,Highasakite: Silent Treatment,Tekstforfatter,Nei
2014,Marit Larsen,Marit Larsen: When the Morning Comes,Tekstforfatter,Nei
2014,Siri Nilsen,Siri Nilsen: Skyggebokser,Tekstforfatter,Ja
2014,Sondre Lerche,Sondre Lerche: Please,Tekstforfatter,Nei
2014,Thea Hjelmeland,Thea Hjelmeland: Solar Plexus,Tekstforfatter,Nei
2014,OnklP & de Fjerne Slektningene,Slekta II,Urban,Nei
2014,Store P,Regnmannen,Urban,Ja
2014,The Band Called Oh!,Stereosoul,Urban,Nei
2014,Ellen Sofie Hovland,Skandinavisk sjel,Viser,Ja
2014,Erlend Ropstad,Her om natta,Viser,Nei
2014,Ingebjørg Bratland,Berre meg,Viser,Nei
2014,Silja Sol,På hjertet,Viser,Nei
2014,Siri Nilsen,Skyggebokser,Viser,Nei
2014,Arve Henriksen,The Nature of Connections,Åpen Klasse,Nei
2014,Gammalgrass,Obsolete Music 1,Åpen Klasse,Nei
2014,In the Country & Frida Ånnevik,Skogens sang,Åpen Klasse,Nei
2014,Jenny Hval & Susanna,Meshes of Voice,Åpen Klasse,Ja
2014,Admiral P feat. Nico D,Engel,Årets hit,Ja
2014,Anders Nilsen,Salsa Tequila,Årets hit,Nei
2014,Broiler feat. Ravvel,Wild Eyes,Årets hit,Nei
2014,Donkeyboy,Crazy Something Normal,Årets hit,Nei
2014,Gabrielle,5 fine frøkner,Årets hit,Nei
2014,Martin Tungevaag & Emila,Samsara 2015,Årets hit,Nei
2014,OnklP & de Fjerne Slektningene,Styggen på ryggen,Årets hit,Nei
2014,Nico & Vinz,Black Star Elephant,Årets Spellemann,Ja
2013,Diverse artister,Karsten og Petra - Sangene fra filmene og TV-serien,Barnemusikk,Nei
2013,Onkel Tuka,Musekongen Blues,Barnemusikk,Nei
2013,Tullkattesnutene,Vi vil ut på byen,Barnemusikk,Ja
2013,Bjørn Berge,Mad Fingers Ball,Blues,Nei
2013,Gina Aspenes,inertia,Blues,Ja
2013,Knut Reiersrud,Aftonblues,Blues,Nei
2013,Bendik Brænne,How To Fake It In America,Country,Ja
2013,Bøygard,Blågras På Skrindo,Country,Nei
2013,Jonas Fjeld & Chatham County Line,Western Harmonies,Country,Ja
2013,Hanne Mette,Minner,Danseband,Ja
2013,Ole Ivars,50 år,Danseband,Nei
2013,Rune Rudberg Band,Tro,Danseband,Nei
2013,Proviant Audio,Drift Days and Disco Nights,Elektronika/Dancemusikk,Nei
2013,Ralph Myerz,super sonic pulse,Elektronika/Dancemusikk,Ja
2013,Rune Lindbæk,Krasava,Elektronika/Dancemusikk,Nei
2013,Ingebjørg Bratland og Odd Nordstoga,Heimafrå,Folkemusikk/Tradisjonsmusikk,Ja
2013,Mari Boine,gilvve gollàt - sow your gold,Folkemusikk/Tradisjonsmusikk,Nei
2013,Rydvall / Mjelva,Isbrytaren,Folkemusikk/Tradisjonsmusikk,Nei
2013,Sudan Dudan,Inntil i dag,Folkemusikk/Tradisjonsmusikk,Nei
2013,Anne Grete Preus,,Årets Hederspris,Ja
2013,Atlanter,Vidde,Indie,Nei
2013,Hvitmalt Gjerde,Hvitmalt Gjerde,Indie,Nei
2013,Young Dreams,Between Places,Indie,Ja
2013,Arve Henriksen,Places Of Worship,Jazz,Nei
2013,Atomic,There's a hole in the mountain,Jazz,Nei
2013,Eyolf Dale,Hometown Interludes,Jazz,Nei
2013,Karin Krog og John Surman,Songs about This and That,Jazz,Ja
2013,Urban Connection,Live!,Jazz,Nei
2013,Bjarte Eike / Barokksolistene,The Image of Melancholy,Klassisk,Nei
2013,Christian Ihle Hadland / Oslo Filharmoniske Orkester / Arvid Engegård,Mozart piano concertos nos. 21 and 22,Klassisk,Nei
2013,Marianne Thorsen Bergen Philharmonic Orchestra / Neeme Järvi,"SVENDSEN - ORCHESTRAL WORKS, VOL. 3",Klassisk,Nei
2013,Oslo Strykekvartett,The Schubert Connection,Klassisk,Ja
2013,Jenny Hval,Jenny Hval: Innocence Is Kinky,Komponist,Nei
2013,Jon Øivind Ness,Kringkastingsorkestret/Magnus Loddgard/Thomas Kjekstad/Sverre Riise/Marius Hesby/Thomas Rimul: Fierce Kentucky Mothers of Doom,Komponist,Nei
2013,Lars Petter Hagen,Oslo Filharmoniske Orkester/Rolf Gupta/Gjermund Larsen: Lars Petter Hagen,Komponist,Ja
2013,Pål Moddi Knutsen,Moddi: Set the House on Fire,Komponist,Nei
2013,Pål Moddi Knutsen / Ola Bremnes / Tove Karoline Knutsen m.fl.,Moddi: Kæm va du?,Komponist,Nei
2013,Kvelertak,meir,Metal,Ja
2013,Obliteration,Black Death Horizon,Metal,Nei
2013,Satyricon,Satyricon,Metal,Nei
2013,Shining,One One One,Metal,Nei
2013,Broiler,The Beginning,Årets Nykommer & Gramostipend,Nei
2013,Hvitmalt Gjerde,Hvitmalt gjerde,Årets Nykommer & Gramostipend,Nei
2013,Kaveh,Hjertet kommer først,Årets Nykommer & Gramostipend,Nei
2013,Mikael Paskalev,What´s Life Without Losers,Årets Nykommer & Gramostipend,Nei
2013,Monica Heldal,Boy From The North,Årets Nykommer & Gramostipend,Ja
2013,Hanne Kolstø,Stillness and Panic,Popsolist,Nei
2013,Ingrid Olava,Summer House,Popsolist,Nei
2013,Maria Mena,Weapon In Mind,Popsolist,Nei
2013,Moddi,Set the House on Fire,Popsolist,Nei
2013,Monica Heldal,Boy From the North,Popsolist,Ja
2013,Alfred Hall,Wilderness,Popgruppe,Nei
2013,Razika,På Vei Hjem,Popgruppe,Nei
2013,Real Ones,tonight only tonight / the morning after,Popgruppe,Ja
2013,The Low Frequency in Stereo,Pop Obskura,Popgruppe,Nei
2013,bigbang,The Oslo Bowl,Rock,Nei
2013,Hedvig Mollestad Trio,all of them witches,Rock,Nei
2013,King Midas,Rosso,Rock,Ja
2013,Motorpsycho,Still Life With Eggplant,Rock,Nei
2013,Christian Wallumrød Ensemble,outstairs,Samtid,Ja
2013,Oslo Filharmoniske Orkester / Rolf Gupta / Gjermund Larsen,lars petter hagen,Samtid,Nei
2013,SPUNK,Das Wohltemperierte Spunk,Samtid,Nei
2013,Erlend Ropstad,Erlend Ropstad: Hva om det ikke er sånn som du tror at det er,Tekstforfatter,Nei
2013,Frida Ånnevik,Frida Ånnevik: Ville Ord,Tekstforfatter,Ja
2013,Lars Vaular,Lars Vaular: 1001 Hjem,Tekstforfatter,Nei
2013,Ole Paus,Ole Paus: Avslutningen,Tekstforfatter,Nei
2013,Stein Torleif Bjella,Stein Torleif Bjella: Heim For å Døy,Tekstforfatter,Nei
2013,Don Martin,En gang Romsåsgutt alltid Romsåsgutt,Urban,Ja
2013,Jaa9&OnklP,Diskoteket Er Stengt,Urban,Nei
2013,Lars Vaular,1001 Hjem,Urban,Nei
2013,Erlend Ropstad,Hva om det ikke er sånn som du tror at det er,Viser,Nei
2013,Frida Ånnevik,Ville Ord,Viser,Nei
2013,Hekla stålstrenga,Dyrandé,Viser,Nei
2013,Moddi,Kæm va du?,Viser,Ja
2013,Stein Torleif Bjella,Heim For å Døy,Viser,Nei
2013,Stein Urheim og Mari Kvien Brunvoll,Daydream Twin,Åpen Klasse,Nei
2013,Susanna and Ensemble neoN,the forester,Åpen Klasse,Ja
2013,The Source,The Source: Of Summer,Åpen Klasse,Nei
2013,Broiler,Vannski,Årets Hit,Nei
2013,Envy,Am I Wrong,Årets Hit,Nei
2013,Røyksopp feat. Susanne Sundfør,Running To The Sea,Årets Hit,Nei
2013,Truls,Out Of Yourself,Årets Hit,Nei
2013,Ylvis,The Fox,Årets Hit,Nei
2013,Ole Paus,Avslutningen,Årets Spellemann,Ja
2012,Christine Sandtorv,Stjerneteller - Gullamanter,Barneplate,Ja
2012,Diverse artister,Vi har den ære - En hyllest til Thorbjørn Egner,Barneplate,Nei
2012,Rasmus & Verdens Beste Band,Gul Snø,Barneplate,Nei
2012,Amund Maarud,Dirt,Blues,Nei
2012,Billy T Band,Mo-Billy-T,Blues,Ja
2012,Vidar Busk & His Bubble of Trouble,Troublecaster,Blues,Nei
2012,Hellbillies,Tretten,Country,Nei
2012,Ida Jenshus,Someone To Love,Country,Ja
2012,Paal Flaata,wait by the fire,Country,Nei
2012,Pegasus,Forandringer,Danseband,Ja
2012,PK & Dansefolket,Slik ho er,Danseband,Nei
2012,Vagabond,2,Danseband,Nei
2012,Lindstrøm,Six Cups of Rebel,Elektronisk musikk,Nei
2012,Lindstrøm,Smalhans,Elektronisk musikk,Ja
2012,Mungolian Jetset,Mungodelics,Elektronisk musikk,Nei
2012,Annbjørg Lien,Khoom Loy,Folkemusikk/Tradisjonsmusikk,Nei
2012,Niko Valkeapää,Gusto,Folkemusikk/Tradisjonsmusikk,Nei
2012,Ottar Kåsa,Ottar Kåsa,Folkemusikk/Tradisjonsmusikk,Ja
2012,Karin Krog,,Årets Hederspris,Ja
2012,Elephant9,Atlantis,Jazz,Nei
2012,Moskus,Salmesykkel,Jazz,Nei
2012,Neneh Cherry & The Thing,The Cherry Thing,Jazz,Nei
2012,Sidsel Endresen & Stian Westerhus,Didymoi Dreams,Jazz,Ja
2012,Zanussi Thirteen,Live,Jazz,Nei
2012,Kåre Nordstoga,Bach: Concertos and chorale preludes,Klassisk,Nei
2012,Leif Ove Andsnes,The Beethoven Journey: Piano Concertos Nos. 1&3,Klassisk,Ja
2012,Ralph Van Raat / Håkon Austbø,Messiaen: Visions de l'amen / debussy: en blanc et noir,Klassisk,Nei
2012,Vilde Frang,"Nielsen, Tchaikovsky - violin concertos",Klassisk,Nei
2012,Eivind Buene,CIKADA: Eivind Buene: possible cities / essential landscapes,Komponist,Ja
2012,Lasse Thoresen,Nordic Voices / Berit Opheim Versto: Himmelkvad,Komponist,Nei
