Year,Artist,Title,Category,Award
2023,Rambow,Mager Men Metter Mager [BONUS],Årets gjennombrudd,Nei
2023,HILLARI,How Is Your Soul?,Årets gjennombrudd,Nei
2023,Emma Steinbakken,Emma Steinbakken 2023,Årets gjennombrudd,Ja
2023,Aden Foyer,The Ballet Girl EP,Årets gjennombrudd,Nei
2023,Alessandra,Alessandra 2023,Årets gjennombrudd,Nei
2023,Bausa,Bausa Records,Årets gjennombrudd,Nei
2023,Caroline Ailin,,Årets internasjonale suksess,Nei
2023,Kristine Tjøgersen,,Årets internasjonale suksess,Nei
2023,Marius Neset,,Årets internasjonale suksess,Nei
2023,Girl in Red,,Årets internasjonale suksess,Nei
2023,Lise Davidsen,,Årets internasjonale suksess,Nei
2023,Erik Smaaland,,Årets internasjonale suksess,Ja
2023,Alessandra,Queen of Kings,Årets låt,Nei
2023,Undergrunn,Michelin stjerner,Årets låt,Nei
2023,Kudos / Golfklubb,Haien kommer,Årets låt,Nei
2023,Emma Steinbakken,Floden,Årets låt,Ja
2023,DJ MØMØ ft. Kjartan Lauritzen,Badebussen,Årets låt,Nei
2023,Bausa,Turné,Årets låt,Nei
2023,SaraLy og Unge Oslo,Stjerner og Fyrverkeri,Barnemusikk,Ja
2023,Ole Ivars,,Årets Hederspris,Ja
2023,Helge Westbye,,Gullharpen,Ja
2023,Undergrunn,,Årets Spellemann,Ja
2022,han gaiden,you called me your erika,Elektronika,Nei
2022,Sylvaine,Nova,Metal,Nei
2022,Rasmus og Verdens Beste Band,Tunga på gjerdet,Barnemusikk,Ja
2022,Stavangerkameratene,Kom nærmare,Festmusikk,Nei
2022,Sondre Lerche,Sondre Lerche,Årets Låtskriver,Nei
2022,Silver Lining,Go Out Nowhere,Country,Nei
2022,Embla and the Karidotters,"Hello, I'm Embla",Country,Ja
2022,Sondre Lerche,Sondre Lerche,Årets Tekstforfatter,Nei
2022,Sondre Lerche,Avatars Of Love,Alternativ pop/rock,Ja
2022,Sondre Lerche,Avatars Of Love,Årets utgivelse,Nei
2022,CULT MEMBER,Infinite Death,Metal,Nei
2022,Bjørn Morten Christophersen,The Lapse of time,TONOs komponistpris,Nei
2022,Løvlid/Hytta/Nyhus,Unamna,Samtid,Ja
2022,Gabba,Gabba,Tradisjonsmusikk,Ja
2022,Hallaisiken,1000 skjermer,Barnemusikk,Nei
2022,Master Oogway with Henriette Eilertsen,Master Oogway with Henriette Eilertsen - Happy Village,Jazz,Nei
2022,Nelly Moar,Nelly Moar,Rnb/Soul,Nei
2022,Rita Engedalen,Sun Will Come,Blues,Nei
2022,Fieh,In the Sun in the Rain,Rnb/Soul,Nei
2022,Louien,Figure Me Out,Alternativ pop/rock,Nei
